Date,Value,Anomaly
189501,28.5,-2.9
189601,28.1,-3.3
189701,28.9,-2.5
189801,33.4,2.0
189901,29.4,-2.0
190001,30.6,-0.8
190101,31.0,-0.4
190201,28.8,-2.6
190301,29.0,-2.4
190401,23.8,-7.6
190501,27.1,-4.3
190601,36.2,4.8
190701,32.7,1.3
190801,30.8,-0.6
190901,32.7,1.3
191001,29.8,-1.6
191101,34.5,3.1
191201,22.9,-8.5
191301,40.0,8.6
191401,30.7,-0.7
191501,33.7,2.3
191601,35.2,3.8
191701,32.1,0.7
191801,20.9,-10.5
191901,34.8,3.4
192001,23.3,-8.1
192101,33.1,1.7
192201,28.0,-3.4
192301,29.4,-2.0
192401,32.2,0.8
192501,28.0,-3.4
192601,31.5,0.1
192701,30.4,-1.0
192801,33.5,2.1
192901,31.1,-0.3
193001,32.5,1.1
193101,31.9,0.5
193201,42.4,11.0
193301,39.4,8.0
193401,34.1,2.7
193501,28.2,-3.2
193601,28.7,-2.7
193701,39.6,8.2
193801,31.5,0.1
193901,31.6,0.2
194001,24.4,-7.0
194101,28.8,-2.6
194201,30.1,-1.3
194301,30.1,-1.3
194401,33.3,1.9
194501,24.6,-6.8
194601,33.7,2.3
194701,36.7,5.3
194801,25.0,-6.4
194901,38.0,6.6
195001,40.8,9.4
195101,35.3,3.9
195201,35.6,4.2
195301,37.1,5.7
195401,30.2,-1.2
195501,30.4,-1.0
195601,31.5,0.1
195701,28.0,-3.4
195801,31.3,-0.1
195901,30.7,-0.7
196001,33.3,1.9
196101,26.9,-4.5
196201,31.7,0.3
196301,29.3,-2.1
196401,34.8,3.4
196501,28.8,-2.6
196601,31.4,0.0
196701,36.5,5.1
196801,25.9,-5.5
196901,31.0,-0.4
197001,24.3,-7.1
197101,26.1,-5.3
197201,34.2,2.8
197301,34.6,3.2
197401,34.3,2.9
197501,36.4,5.0
197601,26.5,-4.9
197701,21.4,-10.0
197801,27.3,-4.1
197901,32.1,0.7
198001,32.5,1.1
198101,24.7,-6.7
198201,24.6,-6.8
198301,33.0,1.6
198401,28.4,-3.0
198501,27.3,-4.1
198601,32.5,1.1
198701,31.4,0.0
198801,28.7,-2.7
198901,36.6,5.2
199001,40.6,9.2
199101,34.1,2.7
199201,34.9,3.5
199301,35.5,4.1
199401,24.7,-6.7
199501,37.2,5.8
199601,30.5,-0.9
199701,32.1,0.7
199801,40.0,8.6
199901,33.9,2.5
200001,31.3,-0.1
200101,33.6,2.2
200201,39.9,8.5
200301,27.5,-3.9
200401,24.7,-6.7
200501,31.3,-0.1
200601,40.9,9.5
200701,37.5,6.1
200801,36.5,5.1
200901,27.9,-3.5
201001,32.5,1.1
201101,29.7,-1.7
201201,37.3,5.9
201301,35.1,3.7
201401,28.7,-2.7
201501,30.0,-1.4
201601,34.5,3.1
201701,38.1,6.7
